Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
"Richland Academy of the Arts:
The Nutcracker Ballet",12/5/2025,"Sunday, December 7, 2025 at 2:30pm",,3,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,12/07/2025,2:30 PM,Success
"One Night, One Man Christmas Carol featuring Michael Thomas",12/12/2025,"Friday, December 12, 2025 at 7:30pm",,2,FALSE,Innovation,Ghostlight,,FALSE,TRUE,TRUE,12/12/2025,7:30 PM,Success
"We Wish You a Jazzy Christmas
Featuring the Artistic Jazz Orchestra",12/13/2025,"Saturday, December 13, 2025 at 7:30pm",,1,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,12/13/2025,7:30 PM,Success
Youth Orchestra: Holiday Prelude,12/14/2025,"Sunday, December 14, 2025 at 3:30pm",,1,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,12/14/2025,3:30 PM,Success
"One Night, One Man Christmas Carol featuring Michael Thomas",12/12/2025,"Thursday, December 18, 2025 at 7:30pm",,2,FALSE,Innovation,Ghostlight,,FALSE,TRUE,TRUE,12/18/2025,7:30 PM,Success
Mansfield Symphony: Holiday Pops,12/20/2025,"Saturday, December 20, 2025 at 7:30pm",2025 Holiday Pops,1,TRUE,Symphony,Main Stage,"Ethan, Jason",FALSE,TRUE,TRUE,12/20/2025,7:30 PM,Success
Emerging Artists: LOVESICK,1/7/2026,"Wednesday, January 7, 2026 at 7:30pm",,1,FALSE,Innovation,Theatre 166,Nik,FALSE,TRUE,TRUE,01/07/2026,7:30 PM,Success
Emerging Artists: Setup,1/6/2026,,,,,,Theatre 166,,TRUE,TRUE,TRUE,01/06/2026,,
Emerging Artists: BEULAH-JOYCE,1/9/2026,"Friday, January 9, 2026 at 7:30pm",,1,FALSE,Innovation,Theatre 166,Nik,FALSE,TRUE,TRUE,01/09/2026,7:30 PM,Success
The Frontmen,1/10/2026,"Saturday, January 10, 2026 at 7:30pm",Frontmen - 1/10/25,1,FALSE,Concert,Main Stage,"Seth, Jason, Noah, Ryan",FALSE,TRUE,TRUE,01/10/2026,7:30 PM,Success
"Emerging Artists:
FLOWERS ON THE MOON",1/16/2026,"Friday, January 16, 2026 at 7:30pm",,1,FALSE,Innovation,Theatre 166,Nik,FALSE,TRUE,TRUE,01/16/2026,7:30 PM,Success
Emerging Artists: SCOUTS,1/21/2026,"Wednesday, January 21, 2026 at 7:30pm",,1,FALSE,Innovation,Theatre 166,Nik,FALSE,TRUE,TRUE,01/21/2026,7:30 PM,Success
Emerging Artists: THREE SEPTEMBERS,1/30/2026,"Friday, January 30, 2026 at 7:30pm",,1,FALSE,Innovation,Theatre 166,Nik,FALSE,TRUE,TRUE,01/30/2026,7:30 PM,Success
RYOT: Showcase (Performance),2/6/2026,"Friday, February 6, 2026 at 7:00pm",RYOT Showcase Feb 2026,2,TRUE,Education,Theatre 166,Seth,FALSE,TRUE,TRUE,02/06/2026,7:00 PM,Success
RYOT: Showcase (Performance),2/6/2026,"Saturday, February 7, 2026 at 7:00pm",RYOT Showcase Feb 2026,2,TRUE,Education,Theatre 166,Seth,FALSE,TRUE,TRUE,02/07/2026,7:00 PM,Success
"Teddy Bear Concert:
Jack and The Beanstalk",2/15/2026,"Sunday, February 15, 2026 at 2:30pm",,1,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,02/15/2026,2:30 PM,Success
Improv Underground: Workshop/Classes,2/18/2026,"Wednesday, February 18, 2026 at 4:00pm through Tuesday, April 7, 2026 at 4:00pm",,14,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,02/18/2026,4:00 PM,Success
"""Heartworks: Story Crafts and Story-Crafting"" with Lyn Ford",2/19/2026,"Thursday, February 19, 2026 at 4:30pm",,1,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,02/19/2026,4:30 PM,Success
A Funny Thing Happened on the Way to the Forum,2/21/2026,"Saturday, February 21, 2026 at 7:30pm",04 A Funny Thing Happened on the Way to the Forum,5,FALSE,Broadway,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Linda, Ryan",FALSE,TRUE,TRUE,02/21/2026,7:30 PM,Success
A Funny Thing Happened on the Way to the Forum,2/21/2026,"Sunday, February 22, 2026 at 2:30pm",04 A Funny Thing Happened on the Way to the Forum,5,FALSE,Broadway,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Linda, Ryan",FALSE,TRUE,TRUE,02/22/2026,2:30 PM,Success
A Funny Thing Happened on the Way to the Forum,2/21/2026,"Friday, February 27, 2026 at 7:30pm",04 A Funny Thing Happened on the Way to the Forum,5,FALSE,Broadway,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Linda, Ryan",FALSE,TRUE,TRUE,02/27/2026,7:30 PM,Success
A Funny Thing Happened on the Way to the Forum,2/21/2026,"Saturday, February 28, 2026 at 7:30pm",04 A Funny Thing Happened on the Way to the Forum,5,FALSE,Broadway,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Linda, Ryan",FALSE,TRUE,TRUE,02/28/2026,7:30 PM,Success
A Funny Thing Happened on the Way to the Forum,2/21/2026,"Sunday, March 1, 2026 at 2:30pm",04 A Funny Thing Happened on the Way to the Forum,5,FALSE,Broadway,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Linda, Ryan",FALSE,TRUE,TRUE,03/01/2026,2:30 PM,Success
CTF-Cat Kid Comic Club,3/3/2026,"Tuesday, March 3, 2026 at 9:45am",Cat Kid Comic Club 24 Tech Riders,2,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,03/03/2026,9:45 AM,Success
CTF-Cat Kid Comic Club,3/3/2026,"Tuesday, March 3, 2026 at 12:30pm",Cat Kid Comic Club 24 Tech Riders,2,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,03/03/2026,12:30 PM,Success
